column	PC	value
A2-A0CM	1	-0.07244238415358119
A2-A0CM	2	-0.15011124398671544
A2-A0CM	3	0.17882734268394018
A2-A0CM	4	-0.010602031411712644
A2-A0CM	5	0.08179562153014906
A2-A0CM	6	-0.09249592960405208
A2-A0CM	7	0.07148456437227785
A2-A0CM	8	-0.031295025050060064
A2-A0CM	9	0.031246094623007013
A2-A0CM	10	-0.022840409677924427
A2-A0CM	11	0.05320041809659882
A2-A0CM	12	-0.17209024557362732
A2-A0CM	13	0.0558457161655135
A2-A0CM	14	-0.1676053505735821
A2-A0CM	15	0.01354360615969962
A2-A0CM	16	-0.09322793195617216
A2-A0CM	17	0.16116595207016005
A2-A0CM	18	-0.005468236789934153
A2-A0CM	19	0.1567801081496887
A2-A0CM	20	-0.03617450256371933
A2-A0CM	21	0.05989694796279269
A2-A0CM	22	0.04114613858042983
A2-A0CM	23	-0.009114569002039663
A2-A0CM	24	-0.0015637381271793184
A2-A0CM	25	0.07168212512000806
A2-A0CM	26	0.022601037924198184
A2-A0CM	27	-0.0991404558527979
A2-A0CM	28	-0.10434083471953244
A2-A0CM	29	0.02750934103852228
A2-A0CM	30	0.2380833230474319
A2-A0CM	31	0.07904920214077586
A2-A0CM	32	-0.14950722481420028
A2-A0CM	33	-0.21153682635688356
A2-A0CM	34	-0.20925959310218903
A2-A0CM	35	0.021694169965678696
A2-A0CM	36	0.15444131036881784
A2-A0CM	37	0.20763382219063112
A2-A0CM	38	-0.16974643778303683
A2-A0CM	39	-0.28692852726122214
A2-A0CM	40	-0.10087514484652833
A2-A0CM	41	0.02629605560842708
A2-A0CM	42	0.11408006256404542
A2-A0CM	43	0.12254295753585884
A2-A0CM	44	0.05977684477957102
A2-A0CM	45	0.09658793378864129
A2-A0CM	46	0.11954622056619942
A2-A0CM	47	-0.2860872279831543
A2-A0CM	48	-0.01928960559757395
A2-A0CM	49	-0.05261547053351873
A2-A0CM	50	-0.07093211422733604
A2-A0CM	51	0.01174870586489929
A2-A0CM	52	0.10976197775976022
A2-A0CM	53	0.03322648928099218
A2-A0CM	54	0.11923533156808798
A2-A0CM	55	0.08304491812953507
A2-A0CM	56	0.07212905939527066
A2-A0CM	57	-0.26098213785393737
A2-A0CM	58	-0.03582841097048872
A2-A0CM	59	-0.16524798853646747
A2-A0CM	60	-0.004727894648680419
A2-A0CM	61	0.029871219692791492
A2-A0CM	62	0.09161178551827809
A2-A0CM	63	0.015340480792406703
A2-A0CM	64	0.013347479525825887
A2-A0CM	65	0.08949206000354856
A2-A0CM	66	0.018903876568619946
A2-A0CM	67	-0.08363905864212484
A2-A0CM	68	-0.18805035394780034
A2-A0CM	69	0.05820308417231029
A2-A0CM	70	0.0656598629300681
A2-A0CM	71	0.00896555771267617
A2-A0CM	72	0.0032371394326224626
A2-A0CM	73	0.0887635180939625
A2-A0CM	74	-0.13659249448471045
A2-A0CM	75	-0.045882412646404774
A2-A0CM	76	0.07417627590709894
A2-A0CM	77	-0.0504196618371277
A2-A0CM	78	0.08980620799328395
A2-A0CM	79	-0.050687348822271376
A2-A0CM	80	0.0031985589741403606
BH-A18Q	1	-0.13577773568377222
BH-A18Q	2	-0.05535473477420305
BH-A18Q	3	0.15496157881420336
BH-A18Q	4	0.07396927120737666
BH-A18Q	5	-0.04572827291179424
BH-A18Q	6	-0.029860511663056574
BH-A18Q	7	-0.02795946245113905
BH-A18Q	8	-0.15535540312531426
BH-A18Q	9	0.18531036269996537
